Problem No: 2
Source: (90.394678, 23.861994)
Destination: (90.363833, 23.834145)

Ride Car from Node (90.394678, 23.861994) to Node (90.395208, 23.861926), Distance: 0.054 km, Cost: ৳1.09
Ride Car from Node (90.395208, 23.861926) to Node (90.395741, 23.861846), Distance: 0.055 km, Cost: ৳1.10
Ride Car from Node (90.395741, 23.861846) to Node (90.396254, 23.861770), Distance: 0.053 km, Cost: ৳1.06
Ride Car from Node (90.396254, 23.861770) to Node (90.396874, 23.861692), Distance: 0.064 km, Cost: ৳1.27
Ride Car from Node (90.396874, 23.861692) to Node (90.396867, 23.861109), Distance: 0.065 km, Cost: ৳1.30
Ride Car from Node (90.396867, 23.861109) to Node (90.397355, 23.861046), Distance: 0.050 km, Cost: ৳1.00
Ride Car from Node (90.397355, 23.861046) to Node (90.397866, 23.860391), Distance: 0.089 km, Cost: ৳1.79
Ride Car from Node (90.397866, 23.860391) to Node (90.398200, 23.859998), Distance: 0.055 km, Cost: ৳1.11
Ride Car from Node (90.398200, 23.859998) to Node (90.398527, 23.859611), Distance: 0.054 km, Cost: ৳1.09
Ride Car from Node (90.398527, 23.859611) to Node (90.398861, 23.859218), Distance: 0.055 km, Cost: ৳1.11
Ride Car from Node (90.398861, 23.859218) to Node (90.399204, 23.858817), Distance: 0.057 km, Cost: ৳1.13
Ride Car from Node (90.399204, 23.858817) to Node (90.399556, 23.858420), Distance: 0.057 km, Cost: ৳1.14
Ride Car from Node (90.399556, 23.858420) to Node (90.399916, 23.858024), Distance: 0.057 km, Cost: ৳1.15
Ride Car from Node (90.399916, 23.858024) to Node (90.400501, 23.857349), Distance: 0.096 km, Cost: ৳1.92
Ride Car from Node (90.400501, 23.857349) to Node (90.400842, 23.856951), Distance: 0.056 km, Cost: ৳1.12
Ride Car from Node (90.400842, 23.856951) to Node (90.401182, 23.856549), Distance: 0.057 km, Cost: ৳1.13
Ride Car from Node (90.401182, 23.856549) to Node (90.401642, 23.856216), Distance: 0.060 km, Cost: ৳1.19
Ride Car from Node (90.401642, 23.856216) to Node (90.402152, 23.855946), Distance: 0.060 km, Cost: ৳1.20
Ride Car from Node (90.402152, 23.855946) to Node (90.402719, 23.855668), Distance: 0.065 km, Cost: ৳1.31
Ride Car from Node (90.402719, 23.855668) to Node (90.403237, 23.855412), Distance: 0.060 km, Cost: ৳1.20
Ride Car from Node (90.403237, 23.855412) to Node (90.403779, 23.855145), Distance: 0.063 km, Cost: ৳1.25
Ride Car from Node (90.403779, 23.855145) to Node (90.404302, 23.854880), Distance: 0.061 km, Cost: ৳1.22
Ride Car from Node (90.404302, 23.854880) to Node (90.404549, 23.854996), Distance: 0.028 km, Cost: ৳0.56
Ride Car from Node (90.404549, 23.854996) to Node (90.404618, 23.855031), Distance: 0.008 km, Cost: ৳0.16
Ride Car from Node (90.404618, 23.855031) to Node (90.404753, 23.854864), Distance: 0.023 km, Cost: ৳0.46
Ride Car from Node (90.404753, 23.854864) to Node (90.404813, 23.854791), Distance: 0.010 km, Cost: ৳0.20
